Stockfish;Sunfish;N. Mosse
1;0;85
1;0;105
1;0;103
1;0;151
1;0;81
1;0;59
1;0;121
1;0;117
1;0;73
1;0;101
1;0;115
1;0;63
1;0;65
1;0;123
1;0;95
1;0;83
1;0;101
1;0;89
1;0;83
1;0;133
1;0;67
1;0;151
1;0;125
1;0;159
1;0;69
1;0;101
1;0;77
1;0;83
1;0;105
1;0;83
1;0;93
1;0;45
1;0;97
1;0;153
1;0;91
1;0;119
1;0;99
1;0;113
1;0;89
1;0;61
1;0;91
1;0;105
1;0;51
1;0;143
1;0;109
1;0;117
1;0;37
1;0;103
1;0;97
1;0;77
1;0;119
1;0;143
1;0;115
1;0;183
1;0;61
1;0;51
1;0;121
1;0;55
1;0;117
1;0;111
1;0;87
1;0;61
1;0;55
1;0;83
1;0;73
1;0;105
1;0;159
1;0;83
1;0;159
1;0;75
1;0;85
1;0;93
1;0;117
1;0;47
1;0;155
1;0;111
1;0;113
1;0;101
1;0;115
1;0;87
1;0;97
1;0;51
1;0;69
1;0;73
1;0;107
1;0;113
1;0;137
1;0;79
1;0;115
1;0;107
1;0;85
1;0;103
1;0;129
1;0;111
1;0;73
1;0;35
1;0;111
1;0;97
1;0;103
1;0;51
;;
VB: 100;VN: 0;Draws: 0
